Benbow_id	GI	NR_of_Genes	ATB_id	contig	containing_Genes	start	end	Strain	species_sylph	path
NC_000964.3	GI_11(extra_set)	54	SAMN33940518	SAMN33940518.contig00019	53	6963	43924	Bacillus subtilis subsp. subtilis str. 168	Bacillus halotolerans	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMN33940518.fa.gz
NC_000964.3	GI_11(extra_set)	54	SAMN33940209	SAMN33940209.contig00010	49	16465	53295	Bacillus subtilis subsp. subtilis str. 168	Bacillus atrophaeus	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMN33940209.fa.gz
NC_000964.3	GI_11(extra_set)	54	SAMN41506556	SAMN41506556.contig00009	49	6689	43456	Bacillus subtilis subsp. subtilis str. 168	Bacillus velezensis	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMN41506556.fa.gz
NC_000964.3	GI_5(extra_set)	40	SAMN33940252	SAMN33940252.contig00001	32	506343	648770	Bacillus subtilis subsp. subtilis str. 168	Bacillus inaquosorum	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMN33940252.fa.gz
NC_000964.3	GI_5(extra_set)	40	SAMN33940288	SAMN33940288.contig00004	32	296745	344271	Bacillus subtilis subsp. subtilis str. 168	Bacillus inaquosorum	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMN33940288.fa.gz
NC_000964.3	GI_5(extra_set)	40	SAMN33940202	SAMN33940202.contig00001	34	211946	242652	Bacillus subtilis subsp. subtilis str. 168	Bacillus inaquosorum	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMN33940202.fa.gz
NC_000964.3	GI_6(extra_set)	58	SAMN33940611	SAMN33940611.contig00002	49	57734	416827	Bacillus subtilis subsp. subtilis str. 168	Bacillus inaquosorum	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMN33940611.fa.gz
NC_000964.3	GI_6(extra_set)	58	SAMN33941031	SAMN33941031.contig00001	47	380364	704744	Bacillus subtilis subsp. subtilis str. 168	Bacillus inaquosorum	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMN33941031.fa.gz
NC_000964.3	GI_6(extra_set)	58	SAMN19077228	SAMN19077228.contig00001	48	145305	600601	Bacillus subtilis subsp. subtilis str. 168	Bacillus inaquosorum	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMN19077228.fa.gz
NC_000964.3	GI_7(extra_set)	4	SAMN30711685	SAMN30711685.contig00002	4	48691	56368	Bacillus subtilis subsp. subtilis str. 168	Bacillus vallismortis	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.96/SAMN30711685.fa.gz
NC_000964.3	GI_7(extra_set)	4	SAMN41082105	SAMN41082105.contig00007	4	31045	38716	Bacillus subtilis subsp. subtilis str. 168	Bacillus inaquosorum	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMN41082105.fa.gz
NC_000964.3	GI_7(extra_set)	4	SAMEA114331900	SAMEA114331900.contig00002	4	372565	380234	Bacillus subtilis subsp. subtilis str. 168	Bacillus spizizenii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMEA114331900.fa.gz
NC_000964.3	GI_7(extra_set)	4	SAMEA114331920	SAMEA114331920.contig00003	4	49289	56958	Bacillus subtilis subsp. subtilis str. 168	Bacillus spizizenii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMEA114331920.fa.gz
NC_000964.3	GI_7(extra_set)	4	SAMN17173645	SAMN17173645.contig00003	4	12279	19960	Bacillus subtilis subsp. subtilis str. 168	Bacillus halotolerans	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.96/SAMN17173645.fa.gz
NC_000964.3	GI_9(extra_set)	51	SAMN33940278	SAMN33940278.contig00010	41	2563	39265	Bacillus subtilis subsp. subtilis str. 168	Bacillus inaquosorum	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.35/SAMN33940278.fa.gz
NC_000964.3	GI_9(extra_set)	51	SAMN19070894	SAMN19070894.contig00002	45	334311	593543	Bacillus subtilis subsp. subtilis str. 168	Bacillus cabrialesii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.96/SAMN19070894.fa.gz
NC_000913.3	GI_2(extra_set)	2	SAMN08172553	SAMN08172553.contig00020	2	55705	56991	Escherichia coli str. K-12 substr. MG1655	Escherichia albertii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.176/SAMN08172553.fa.gz
NC_000913.3	GI_2(extra_set)	2	SAMN11191936	SAMN11191936.contig00012	2	9513	10799	Escherichia coli str. K-12 substr. MG1655	Escherichia albertii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.176/SAMN11191936.fa.gz
NC_000913.3	GI_2(extra_set)	2	SAMN08172568	SAMN08172568.contig00014	2	9511	10797	Escherichia coli str. K-12 substr. MG1655	Escherichia albertii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.176/SAMN08172568.fa.gz
NC_000913.3	GI_4(extra_set)	22	SAMEA11024757	SAMEA11024757.contig00027	20	4238	24238	Escherichia coli str. K-12 substr. MG1655	Enterobacter hormaechei_A	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.156/SAMEA11024757.fa.gz
NC_000913.3	GI_4(extra_set)	22	SAMEA8595468	SAMEA8595468.contig00014	18	69534	89438	Escherichia coli str. K-12 substr. MG1655	Klebsiella aerogenes	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.269/SAMEA8595468.fa.gz
NC_000913.3	GI_4(extra_set)	22	SAMN37008763	SAMN37008763.contig00001	18	23052	1108316	Escherichia coli str. K-12 substr. MG1655	Citrobacter freundii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.28/SAMN37008763.fa.gz
NC_000913.3	GI_4(extra_set)	22	SAMN24020310	SAMN24020310.contig00030	20	4194	24186	Escherichia coli str. K-12 substr. MG1655	Enterobacter hormaechei_A	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.157/SAMN24020310.fa.gz
NC_000913.3	GI_8(extra_set)	27	SAMN30651303	SAMN30651303.contig00020	25	35713	48210	Escherichia coli str. K-12 substr. MG1655	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.443/SAMN30651303.fa.gz
NC_000913.3	GI_8(extra_set)	27	SAMN10276598	SAMN10276598.contig00023	25	9329	21826	Escherichia coli str. K-12 substr. MG1655	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.500/SAMN10276598.fa.gz
NC_002655.2	GI_1(extra_set)	50	SAMN17393518	SAMN17393518.contig00019	40	3800	38056	Escherichia coli O157:H7 str. EDL933	Escherichia albertii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.176/SAMN17393518.fa.gz
NC_002655.2	GI_1(extra_set)	50	SAMN17393506	SAMN17393506.contig00019	40	3800	38070	Escherichia coli O157:H7 str. EDL933	Escherichia albertii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.176/SAMN17393506.fa.gz
NC_002655.2	GI_1(extra_set)	50	SAMN08797274	SAMN08797274.contig00031	40	2760	36987	Escherichia coli O157:H7 str. EDL933	Escherichia albertii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.176/SAMN08797274.fa.gz
NC_002655.2	GI_1(extra_set)	50	SAMN31521292	SAMN31521292.contig00009	40	4569	38829	Escherichia coli O157:H7 str. EDL933	Escherichia albertii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.176/SAMN31521292.fa.gz
NC_002655.2	GI_1(extra_set)	50	SAMN30353328	SAMN30353328.contig00008	40	4612	38846	Escherichia coli O157:H7 str. EDL933	Escherichia albertii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.176/SAMN30353328.fa.gz
NC_002655.2	GI_12(extra_set)	28	SAMN24541653	SAMN24541653.contig00006	23	59089	94463	Escherichia coli O157:H7 str. EDL933	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.431/SAMN24541653.fa.gz
NC_002655.2	GI_12(extra_set)	28	SAMN41987184	SAMN41987184.contig00003	23	168981	204000	Escherichia coli O157:H7 str. EDL933	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.177/SAMN41987184.fa.gz
NC_002655.2	GI_15(extra_set)	6	SAMN17393568	SAMN17393568.contig00057	5	1894	5125	Escherichia coli O157:H7 str. EDL933	Escherichia albertii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.176/SAMN17393568.fa.gz
NC_002655.2	GI_15(extra_set)	6	SAMN15717080	SAMN15717080.contig00005	6	129925	403146	Escherichia coli O157:H7 str. EDL933	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.529/SAMN15717080.fa.gz
NC_002655.2	GI_15(extra_set)	6	SAMD00006187	SAMD00006187.contig00045	5	17457	20697	Escherichia coli O157:H7 str. EDL933	Escherichia albertii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.176/SAMD00006187.fa.gz
NC_002655.2	GI_16(extra_set)	34	SAMD00212279	SAMD00212279.contig00009	31	200095	219509	Escherichia coli O157:H7 str. EDL933	Klebsiella pneumoniae	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.275/SAMD00212279.fa.gz
NC_002655.2	GI_16(extra_set)	34	SAMEA5532831	SAMEA5532831.contig00004	32	11188	30596	Escherichia coli O157:H7 str. EDL933	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.414/SAMEA5532831.fa.gz
NC_002655.2	GI_16(extra_set)	34	SAMN38283340	SAMN38283340.contig00016	28	661	15210	Escherichia coli O157:H7 str. EDL933	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.165/SAMN38283340.fa.gz
NC_002655.2	GI_16(extra_set)	34	SAMN03112901	SAMN03112901.contig00018	28	11118	25667	Escherichia coli O157:H7 str. EDL933	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.465/SAMN03112901.fa.gz
NC_002655.2	GI_16(extra_set)	34	SAMN08440663	SAMN08440663.contig00006	32	216634	236042	Escherichia coli O157:H7 str. EDL933	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.487/SAMN08440663.fa.gz
NC_002655.2	GI_8(extra_set)	51	SAMN07203317	SAMN07203317.contig00017	44	8746	88433	Escherichia coli O157:H7 str. EDL933	Salmonella enterica	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.479/SAMN07203317.fa.gz
NC_002655.2	GI_8(extra_set)	51	SAMN15568299	SAMN15568299.contig00010	44	8776	88465	Escherichia coli O157:H7 str. EDL933	Mycobacterium tuberculosis	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.361/SAMN15568299.fa.gz
NC_003212.1	GI_1(extra_set)	109	SAMN10457644	SAMN10457644.contig00004	114	100264	226588	Listeria innocua Clip11262	Listeria monocytogenes_B	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.315/SAMN10457644.fa.gz
NC_003212.1	GI_1(extra_set)	109	SAMEA111527111	SAMEA111527111.contig00002	92	18865	492131	Listeria innocua Clip11262	Listeria monocytogenes_B	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.312/SAMEA111527111.fa.gz
NC_003212.1	GI_2(extra_set)	72	SAMN06767537	SAMN06767537.contig00002	67	419787	466467	Listeria innocua Clip11262	Listeria monocytogenes	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.306/SAMN06767537.fa.gz
NC_003212.1	GI_2(extra_set)	72	SAMEA4586470	SAMEA4586470.contig00002	67	483245	530287	Listeria innocua Clip11262	Listeria monocytogenes	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.303/SAMEA4586470.fa.gz
NC_003212.1	GI_2(extra_set)	72	SAMN40175782	SAMN40175782.contig00001	71	21454	68553	Listeria innocua Clip11262	Listeria monocytogenes	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.109/SAMN40175782.fa.gz
NC_003212.1	GI_3(extra_set)	75	SAMN02923159	SAMN02923159.contig00005	61	2101	44260	Listeria innocua Clip11262	Listeria monocytogenes_B	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.313/SAMN02923159.fa.gz
NC_003212.1	GI_3(extra_set)	75	SAMN10734830	SAMN10734830.contig00012	61	2728	45386	Listeria innocua Clip11262	Listeria monocytogenes_B	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.315/SAMN10734830.fa.gz
NC_003212.1	GI_3(extra_set)	75	SAMN06307830	SAMN06307830.contig00002	61	40643	82804	Listeria innocua Clip11262	Listeria monocytogenes	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.306/SAMN06307830.fa.gz
NC_003212.1	GI_4(extra_set)	54	SAMN32041502	SAMN32041502.contig00002	72	525956	600920	Listeria innocua Clip11262	Listeria monocytogenes_B	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.318/SAMN32041502.fa.gz
NC_003212.1	GI_4(extra_set)	54	SAMN15508328	SAMN15508328.contig00001	46	500242	567127	Listeria innocua Clip11262	Listeria monocytogenes_B	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.316/SAMN15508328.fa.gz
NC_003212.1	GI_4(extra_set)	54	SAMN14165659	SAMN14165659.contig00002	46	525244	560284	Listeria innocua Clip11262	Listeria monocytogenes_B	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.316/SAMN14165659.fa.gz
NC_003212.1	GI_6(extra_set)	37	SAMN02922130	SAMN02922130.contig00002	35	6396	27787	Listeria innocua Clip11262	Listeria monocytogenes_B	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.313/SAMN02922130.fa.gz
NC_003212.1	GI_6(extra_set)	37	SAMEA9568684	SAMEA9568684.contig00011	35	66114	87505	Listeria innocua Clip11262	Listeria monocytogenes_B	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.312/SAMEA9568684.fa.gz
NC_003212.1	GI_6(extra_set)	37	SAMEA110378267	SAMEA110378267.contig00002	35	15277	36663	Listeria innocua Clip11262	Listeria monocytogenes	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.304/SAMEA110378267.fa.gz
NC_003212.1	GI_6(extra_set)	37	SAMN28122324	SAMN28122324.contig00004	35	312643	334031	Listeria innocua Clip11262	Listeria monocytogenes	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.309/SAMN28122324.fa.gz
NC_003210.1	GI_1(extra_set)	11	SAMN02923102	SAMN02923102.contig00002	11	23005	33080	Listeria monocytogenes EGD-e	Listeria monocytogenes_B	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.313/SAMN02923102.fa.gz
NC_003210.1	GI_1(extra_set)	11	SAMEA7005881	SAMEA7005881.contig00005	10	165817	175784	Listeria monocytogenes EGD-e	Listeria monocytogenes_B	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.311/SAMEA7005881.fa.gz
NC_003210.1	GI_2(extra_set)	63	SAMEA3639527	SAMEA3639527.contig00001	52	65409	138313	Listeria monocytogenes EGD-e	Listeria monocytogenes_B	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.311/SAMEA3639527.fa.gz
NC_003210.1	GI_2(extra_set)	63	SAMEA3639500	SAMEA3639500.contig00002	54	373425	446169	Listeria monocytogenes EGD-e	Listeria monocytogenes_B	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.311/SAMEA3639500.fa.gz
NC_003210.1	GI_3(extra_set)	28	SAMN03800292	SAMN03800292.contig00011	28	62512	76469	Listeria monocytogenes EGD-e	Listeria monocytogenes_B	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.313/SAMN03800292.fa.gz
NC_003210.1	GI_3(extra_set)	28	SAMEA111528142	SAMEA111528142.contig00004	28	214955	228912	Listeria monocytogenes EGD-e	Listeria monocytogenes_B	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.312/SAMEA111528142.fa.gz
NC_003210.1	GI_3(extra_set)	28	SAMN23491780	SAMN23491780.contig00003	28	14935	28892	Listeria monocytogenes EGD-e	Listeria monocytogenes_C	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.119/SAMN23491780.fa.gz
NC_003210.1	GI_3(extra_set)	28	SAMN05755938	SAMN05755938.contig00001	28	480405	494362	Listeria monocytogenes EGD-e	Listeria monocytogenes_B	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.314/SAMN05755938.fa.gz
NC_003210.1	GI_3(extra_set)	28	SAMN04146112	SAMN04146112.contig00003	28	318644	332601	Listeria monocytogenes EGD-e	Listeria monocytogenes_B	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.313/SAMN04146112.fa.gz
NC_002678.1	GI_2(extra_set)	39	SAMN21447785	SAMN21447785.contig00002	39	62888	106244	Mesorhizobium loti MAFF303099	Mesorhizobium sp006442205	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.121/SAMN21447785.fa.gz
NC_002678.1	GI_2(extra_set)	39	SAMN21447826	SAMN21447826.contig00001	39	883559	921534	Mesorhizobium loti MAFF303099	Mesorhizobium australicum	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.120/SAMN21447826.fa.gz
NC_002678.1	GI_2(extra_set)	39	SAMN12071679	SAMN12071679.contig00021	39	40389	76750	Mesorhizobium loti MAFF303099	Mesorhizobium sp006442685	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.121/SAMN12071679.fa.gz
NC_002678.1	GI_2(extra_set)	39	SAMN21447822	SAMN21447822.contig00014	39	54047	91927	Mesorhizobium loti MAFF303099	Mesorhizobium australicum	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.120/SAMN21447822.fa.gz
NC_003295.1	GI_1(extra_set)	28	SAMN27356567	SAMN27356567.contig00017	24	22057	49637	Ralstonia pseudosolanacearum GMI1000	Ralstonia solanacearum	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.407/SAMN27356567.fa.gz
NC_003295.1	GI_1(extra_set)	28	SAMN27356596	SAMN27356596.contig00020	23	69131	96711	Ralstonia pseudosolanacearum GMI1000	Ralstonia solanacearum	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.407/SAMN27356596.fa.gz
NC_003295.1	GI_2(extra_set)	30	SAMN27356641	SAMN27356641.contig00021	24	896	22017	Ralstonia pseudosolanacearum GMI1000	Ralstonia solanacearum	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.407/SAMN27356641.fa.gz
NC_003295.1	GI_2(extra_set)	30	SAMN27589867	SAMN27589867.contig00041	24	25964	46484	Ralstonia pseudosolanacearum GMI1000	Ralstonia solanacearum	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.407/SAMN27589867.fa.gz
NC_003295.1	GI_2(extra_set)	30	SAMN22612374	SAMN22612374.contig00003	25	199750	221197	Ralstonia pseudosolanacearum GMI1000	Ralstonia solanacearum	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.407/SAMN22612374.fa.gz
NC_003295.1	GI_2(extra_set)	30	SAMN39646424	SAMN39646424.contig00013	24	40897	62015	Ralstonia pseudosolanacearum GMI1000	Ralstonia solanacearum	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.incr_release.202408.batch.52/SAMN39646424.fa.gz
NC_003295.1	GI_2(extra_set)	30	SAMN27356562	SAMN27356562.contig00010	29	25982	47412	Ralstonia pseudosolanacearum GMI1000	Ralstonia syzygii	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.134/SAMN27356562.fa.gz
NC_003295.1	GI_3(extra_set)	26	SAMN27631883	SAMN27631883.contig00041	22	146	17863	Ralstonia pseudosolanacearum GMI1000	Ralstonia solanacearum	/scratch/projekte/MF1_Bioinformatics/2025-mobilome-vincent/allTheBacteria/batch/atb.assembly.r0.2.batch.407/SAMN27631883.fa.gz
