Accession,Start,End,Description,Label
NC_010515.1,2830156,2835668,"NC_010515.1|1|NC_010515.1:2830156-2835668 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2835867,2850009,"NC_010515.1|1|NC_010515.1:2835867-2850009 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2979136,2984526,"NC_010515.1|1|NC_010515.1:2979136-2984526 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2987692,2996838,"NC_010515.1|1|NC_010515.1:2987692-2996838 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2996932,3003974,"NC_010515.1|1|NC_010515.1:2996932-3003974 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,3004203,3010952,"NC_010515.1|1|NC_010515.1:3004203-3010952 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,3012094,3040099,"NC_010515.1|1|NC_010515.1:3012094-3040099 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,3054237,3058244,"NC_010515.1|1|NC_010515.1:3054237-3058244 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,3073055,3078857,"NC_010515.1|1|NC_010515.1:3073055-3078857 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,3081999,3086885,"NC_010515.1|1|NC_010515.1:3081999-3086885 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,3090740,3101814,"NC_010515.1|1|NC_010515.1:3090740-3101814 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,3150085,3154973,"NC_010515.1|1|NC_010515.1:3150085-3154973 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,3176274,3180785,"NC_010515.1|1|NC_010515.1:3176274-3180785 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,686157,692115,"NC_010515.1|1|NC_010515.1:686157-692115 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1211527,1237018,"NC_010515.1|1|NC_010515.1:1211527-1237018 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1490032,1505887,"NC_010515.1|1|NC_010515.1:1490032-1505887 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1624257,1630682,"NC_010515.1|1|NC_010515.1:1624257-1630682 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1645024,1678490,"NC_010515.1|1|NC_010515.1:1645024-1678490 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1680450,1692227,"NC_010515.1|1|NC_010515.1:1680450-1692227 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1695943,1724209,"NC_010515.1|1|NC_010515.1:1695943-1724209 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,1907912,1919164,"NC_010515.1|1|NC_010515.1:1907912-1919164 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2046764,2052758,"NC_010515.1|1|NC_010515.1:2046764-2052758 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2122530,2149724,"NC_010515.1|1|NC_010515.1:2122530-2149724 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2161891,2175855,"NC_010515.1|1|NC_010515.1:2161891-2175855 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2458334,2464157,"NC_010515.1|1|NC_010515.1:2458334-2464157 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NC_010515.1,2707545,2716646,"NC_010515.1|1|NC_010515.1:2707545-2716646 NC_010515.1 Burkholderia orbicola MC0-3 chromosome 2, complete sequence",1
NZ_CP011301.1,373280,399529,"NZ_CP011301.1|1|NZ_CP011301.1:373280-399529 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,1109638,1126686,"NZ_CP011301.1|1|NZ_CP011301.1:1109638-1126686 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,1143943,1171800,"NZ_CP011301.1|1|NZ_CP011301.1:1143943-1171800 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,1255370,1264943,"NZ_CP011301.1|1|NZ_CP011301.1:1255370-1264943 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2013924,2031302,"NZ_CP011301.1|1|NZ_CP011301.1:2013924-2031302 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2422233,2445954,"NZ_CP011301.1|1|NZ_CP011301.1:2422233-2445954 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2874496,2883915,"NZ_CP011301.1|1|NZ_CP011301.1:2874496-2883915 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2983745,2991550,"NZ_CP011301.1|1|NZ_CP011301.1:2983745-2991550 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3353355,3366895,"NZ_CP011301.1|1|NZ_CP011301.1:3353355-3366895 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3398305,3422510,"NZ_CP011301.1|1|NZ_CP011301.1:3398305-3422510 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4093631,4143020,"NZ_CP011301.1|1|NZ_CP011301.1:4093631-4143020 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,5122841,5138272,"NZ_CP011301.1|1|NZ_CP011301.1:5122841-5138272 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,5169516,5191438,"NZ_CP011301.1|1|NZ_CP011301.1:5169516-5191438 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,5669696,5694683,"NZ_CP011301.1|1|NZ_CP011301.1:5669696-5694683 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,5949158,5967734,"NZ_CP011301.1|1|NZ_CP011301.1:5949158-5967734 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,940159,952136,"NZ_CP011301.1|1|NZ_CP011301.1:940159-952136 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,952699,969333,"NZ_CP011301.1|1|NZ_CP011301.1:952699-969333 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,1094641,1098961,"NZ_CP011301.1|1|NZ_CP011301.1:1094641-1098961 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,1115486,1120140,"NZ_CP011301.1|1|NZ_CP011301.1:1115486-1120140 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,1383166,1390289,"NZ_CP011301.1|1|NZ_CP011301.1:1383166-1390289 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,1664507,1670829,"NZ_CP011301.1|1|NZ_CP011301.1:1664507-1670829 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,1871111,1877791,"NZ_CP011301.1|1|NZ_CP011301.1:1871111-1877791 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,1981193,2023183,"NZ_CP011301.1|1|NZ_CP011301.1:1981193-2023183 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2215833,2220065,"NZ_CP011301.1|1|NZ_CP011301.1:2215833-2220065 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2220370,2224631,"NZ_CP011301.1|1|NZ_CP011301.1:2220370-2224631 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2440580,2455025,"NZ_CP011301.1|1|NZ_CP011301.1:2440580-2455025 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2455084,2465069,"NZ_CP011301.1|1|NZ_CP011301.1:2455084-2465069 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2696256,2701168,"NZ_CP011301.1|1|NZ_CP011301.1:2696256-2701168 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2727707,2744546,"NZ_CP011301.1|1|NZ_CP011301.1:2727707-2744546 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2764769,2772345,"NZ_CP011301.1|1|NZ_CP011301.1:2764769-2772345 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2772615,2784254,"NZ_CP011301.1|1|NZ_CP011301.1:2772615-2784254 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2784348,2794436,"NZ_CP011301.1|1|NZ_CP011301.1:2784348-2794436 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2811914,2822976,"NZ_CP011301.1|1|NZ_CP011301.1:2811914-2822976 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2826134,2833929,"NZ_CP011301.1|1|NZ_CP011301.1:2826134-2833929 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2870266,2879906,"NZ_CP011301.1|1|NZ_CP011301.1:2870266-2879906 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2902770,2917829,"NZ_CP011301.1|1|NZ_CP011301.1:2902770-2917829 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,2959984,2964458,"NZ_CP011301.1|1|NZ_CP011301.1:2959984-2964458 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3149452,3153551,"NZ_CP011301.1|1|NZ_CP011301.1:3149452-3153551 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3153678,3160617,"NZ_CP011301.1|1|NZ_CP011301.1:3153678-3160617 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3166102,3170881,"NZ_CP011301.1|1|NZ_CP011301.1:3166102-3170881 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3173750,3181107,"NZ_CP011301.1|1|NZ_CP011301.1:3173750-3181107 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3187182,3192545,"NZ_CP011301.1|1|NZ_CP011301.1:3187182-3192545 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3192731,3197136,"NZ_CP011301.1|1|NZ_CP011301.1:3192731-3197136 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3197251,3201993,"NZ_CP011301.1|1|NZ_CP011301.1:3197251-3201993 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3202811,3209255,"NZ_CP011301.1|1|NZ_CP011301.1:3202811-3209255 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3218655,3224280,"NZ_CP011301.1|1|NZ_CP011301.1:3218655-3224280 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3255443,3271198,"NZ_CP011301.1|1|NZ_CP011301.1:3255443-3271198 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3355670,3360207,"NZ_CP011301.1|1|NZ_CP011301.1:3355670-3360207 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3399848,3406329,"NZ_CP011301.1|1|NZ_CP011301.1:3399848-3406329 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3717727,3723510,"NZ_CP011301.1|1|NZ_CP011301.1:3717727-3723510 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3740019,3744428,"NZ_CP011301.1|1|NZ_CP011301.1:3740019-3744428 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,3773463,3777531,"NZ_CP011301.1|1|NZ_CP011301.1:3773463-3777531 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4049802,4054985,"NZ_CP011301.1|1|NZ_CP011301.1:4049802-4054985 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4081050,4091433,"NZ_CP011301.1|1|NZ_CP011301.1:4081050-4091433 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4093825,4098198,"NZ_CP011301.1|1|NZ_CP011301.1:4093825-4098198 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4098674,4106646,"NZ_CP011301.1|1|NZ_CP011301.1:4098674-4106646 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4106663,4111653,"NZ_CP011301.1|1|NZ_CP011301.1:4106663-4111653 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4113375,4126778,"NZ_CP011301.1|1|NZ_CP011301.1:4113375-4126778 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4132448,4139374,"NZ_CP011301.1|1|NZ_CP011301.1:4132448-4139374 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4274582,4279732,"NZ_CP011301.1|1|NZ_CP011301.1:4274582-4279732 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4290145,4294325,"NZ_CP011301.1|1|NZ_CP011301.1:4290145-4294325 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4328562,4332596,"NZ_CP011301.1|1|NZ_CP011301.1:4328562-4332596 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4370185,4375940,"NZ_CP011301.1|1|NZ_CP011301.1:4370185-4375940 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4493254,4498793,"NZ_CP011301.1|1|NZ_CP011301.1:4493254-4498793 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4503962,4519392,"NZ_CP011301.1|1|NZ_CP011301.1:4503962-4519392 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4594423,4598708,"NZ_CP011301.1|1|NZ_CP011301.1:4594423-4598708 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4601836,4605879,"NZ_CP011301.1|1|NZ_CP011301.1:4601836-4605879 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4611925,4619949,"NZ_CP011301.1|1|NZ_CP011301.1:4611925-4619949 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4624471,4628846,"NZ_CP011301.1|1|NZ_CP011301.1:4624471-4628846 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4628895,4633995,"NZ_CP011301.1|1|NZ_CP011301.1:4628895-4633995 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4634682,4639052,"NZ_CP011301.1|1|NZ_CP011301.1:4634682-4639052 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4639286,4650208,"NZ_CP011301.1|1|NZ_CP011301.1:4639286-4650208 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
NZ_CP011301.1,4659779,4664409,"NZ_CP011301.1|1|NZ_CP011301.1:4659779-4664409 NZ_CP011301.1 Burkholderia cepacia strain LO6 chromosome, complete genome",1
